ID,Renta_secc,n,distance,feature_x,feature_y,nearest_x,nearest_y
27042_AM,"11575","1",4900.419998517083513,123440.943117628616164,4748025.008601713925600,127402.842425225229817,4745141.006167884916067
27044_AM,"10781","1",2929.625583995489706,141024.285450442752335,4807949.504470040090382,143085.003771979187150,4805867.162984672002494
27046_AM,"12306","1",5270.353400776606577,152857.613147141877562,4779054.062609644606709,148153.170967373269377,4776678.173566298559308
27047_AM,"11823","1",5030.657397476285041,142949.693929285829654,4717601.418227963149548,144270.647697748063365,4722455.549972401931882
27048_AM,"12172","1",3900.797733812938077,157735.180046929250238,4803435.013984360732138,157900.910549107211409,4807332.289489218965173
"27050","11458","1",134.984952895683421,155367.329290054622106,4712813.672409478574991,155495.554399670130806,4712855.853670393116772
"27051","10735","1",2394.714338161551950,167524.654162734746933,4825931.627613689750433,166492.264625719399191,4823770.880380610935390
"27057","11616","1",1009.916590802796918,137406.208207946096081,4745022.911380893550813,138392.571252772671869,4744806.071660871617496
27058_AM,"10086","1",4021.011985365916189,122850.317899113506428,4730912.239087201654911,120278.245708387374179,4734003.028959087096155
"27060","12447","1",2043.443548094757489,110205.266445913002826,4740522.861399794928730,108250.100438739347737,4739928.733956697396934
27063_AM,"11286","1",3591.332293583377577,139408.441966746700928,4828611.902863753959537,141218.684593550569844,4825510.179266295395792
"27065","11961","1",1882.521516436928778,121942.552023192125489,4806609.411776204593480,120728.233099381424836,4805170.899763351306319
"27066","11826","1",1885.886807550246886,129855.953105979031534,4841393.464765023440123,127977.460156619883492,4841560.297885536216199
"27902","13969","1",498.804439615850697,147964.668138325709151,4843071.277240488678217,148439.365847659006249,4842918.084702373482287
"28002","15006","1",559.297746888777851,459328.336992627533618,4486024.821871602907777,459698.705146802007221,4485605.725939806550741
"28004","10011","1",1290.497000610708710,415843.833522305299994,4454020.810516393743455,416193.465511036862154,4455263.042371178045869
"2800501","17027","1",85.989766164855425,469095.087698802002706,4481395.868040482513607,469152.037178652477451,4481460.296268999576569
"2800502","10114","1",691.892905007665263,466734.381090634793509,4479494.557582576759160,467253.563626939547248,4479037.211667545139790
"2800503","12084","1",762.692686227155150,465480.510477760341018,4483975.775849332101643,464863.523309986747336,4484424.136160273104906
"2800504",,"1",219.130444659883381,470045.699640570441261,4484863.600259118713439,470007.515051814960316,4484647.822389636188745
"2800505","20341","1",1174.130778734757314,472281.086276248330250,4482292.110666411928833,471108.350938624935225,4482234.883806794881821
"28006","22984","1",572.713340926627438,446635.929645985772368,4487283.878469611518085,446086.378764614346437,4487122.650681500323117
"2800701","14747","1",271.064296799810108,428300.246562314627226,4468725.844658918678761,428337.205948050890584,4468994.377444264478981
"2800702","14314","1",135.748158768905597,431348.200511072878726,4467449.926344694569707,431216.058115102059674,4467418.846611808985472
"2800703","13935","1",87.668557225583172,430734.866667592141312,4466153.823791217990220,430651.617689599632286,4466181.308033780194819
"2800704","15010","1",297.993299148782285,429245.860859786742367,4465230.493674681521952,429304.990250386123080,4464938.425666325725615
"28008","10285","1",0.317657938645887,396010.076241425587796,4462802.259463627822697,396009.760445363295730,4462802.293806211091578
"28009","16328","1",1121.635437937671895,455170.304927902878262,4495401.971071572043002,455123.652800198411569,4494281.306253431364894
"28010","13180","1",737.173975155365838,413709.678130628191866,4501720.218824127689004,413212.325081493589096,4501176.099890287965536
28012_AM,"10888","1",3238.949451019524076,481391.497436572914012,4472153.825685096904635,478947.804305035213474,4474279.656681468710303
